Date,Total Value,Cash,Holdings Value
2016-02-11,1000000.0,741050.0,258950.0
2016-02-12,1006200.0,741050.0,265150.0
2016-02-15,1009570.0,741050.0,268520.0
2016-02-16,1015690.0,741050.0,274640.0
2016-02-17,1021700.0,741050.0,280650.0
2016-02-18,1021910.0,741050.0,280860.0
2016-02-19,1023050.0,741050.0,282000.0
2016-02-22,1020950.0,741050.0,279900.0
2016-02-23,1022730.0,741050.0,281680.0
2016-02-24,1022510.0,741050.0,281460.0
2016-02-25,1021870.0,741050.0,280820.0
2016-02-26,1021410.0,741050.0,280360.0
2016-02-29,1017490.0,741050.0,276440.0
2016-03-02,1024460.0,741050.0,283410.0
2016-03-03,1030400.0,741050.0,289350.0
2016-03-04,1028150.0,741050.0,287100.0
2016-03-07,1029190.0,741050.0,288140.0
2016-03-08,1022410.0,741050.0,281360.0
2016-03-09,1026120.0,741050.0,285070.0
2016-03-10,1025750.0,741050.0,284700.0
2016-03-11,1028870.0,741050.0,287820.0
2016-03-14,2029900.0,819050.0,1210850.0
2016-03-15,2010970.0,819050.0,1191920.0
2016-03-16,2005690.0,819050.0,1186640.0
2016-03-17,2009120.0,819050.0,1190070.0
2016-03-18,2015520.0,819050.0,1196470.0
2016-03-21,2025180.0,819050.0,1206130.0
2016-03-22,2049510.0,819050.0,1230460.0
2016-03-23,2045560.0,819050.0,1226510.0
2016-03-24,2034180.0,819050.0,1215130.0
2016-03-25,2030320.0,819050.0,1211270.0
2016-03-28,2021360.0,819050.0,1202310.0
2016-03-29,2033350.0,819050.0,1214300.0
2016-03-30,2030220.0,819050.0,1211170.0
2016-03-31,2017480.0,819050.0,1198430.0
2016-04-01,1996910.0,819050.0,1177860.0
2016-04-04,1991850.0,819050.0,1172800.0
2016-04-05,1973100.0,819050.0,1154050.0
2016-04-06,1976250.0,819050.0,1157200.0
2016-04-07,1963410.0,819050.0,1144360.0
2016-04-08,1967290.0,819050.0,1148240.0
2016-04-11,2969240.0,843140.0,2126100.0
2016-04-12,2981390.0,843140.0,2138250.0
2016-04-14,3025140.0,843140.0,2182000.0
2016-04-15,3036640.0,843140.0,2193500.0
